date,fuel_type,variable_group,variable_name,unit,value,__rowNumber,value_original,unit_original,rate_currency,value_per_liter_equivalent,value_per_KL_equivalent,value_per_cylinder_equivalent,standardization_status,standardization_note
2026-04-03,ATF_DP,cost,administration_cost,NRs_per_KL,608.02,101,608.02,NRs_per_KL,NRs,0.60802,608.02,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,administration_cost,NRs_per_KL,608.02,102,608.02,NRs_per_KL,NRs,0.60802,608.02,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,administration_cost,NRs_per_cylinder,8.63,103,8.63,NRs_per_cylinder,NRs,,,8.63,kept_per_cylinder,
2026-04-03,Petrol,cost,insurance_premium,NRs_per_KL,92.27,104,92.27,NRs_per_KL,NRs,0.09227,92.27,,converted_from_per_KL,
2026-04-03,Diesel,cost,insurance_premium,NRs_per_KL,145.5,105,145.5,NRs_per_KL,NRs,0.1455,145.5,,converted_from_per_KL,
2026-04-03,Kerosene,cost,insurance_premium,NRs_per_KL,118.74,106,118.74,NRs_per_KL,NRs,0.11874,118.74,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,insurance_premium,NRs_per_KL,128.1,107,128.1,NRs_per_KL,NRs,0.1281,128.1,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,insurance_premium,NRs_per_KL,128.1,108,128.1,NRs_per_KL,NRs,0.1281,128.1,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,insurance_premium,NRs_per_cylinder,1.77,109,1.77,NRs_per_cylinder,NRs,,,1.77,kept_per_cylinder,
2026-04-03,Petrol,cost,technical_loss,NRs_per_KL,1722.44,110,1722.44,NRs_per_KL,NRs,1.72244,1722.44,,converted_from_per_KL,
2026-04-03,Diesel,cost,technical_loss,NRs_per_KL,1621.22,111,1621.22,NRs_per_KL,NRs,1.62122,1621.22,,converted_from_per_KL,
2026-04-03,Kerosene,cost,technical_loss,NRs_per_KL,1347.44,112,1347.44,NRs_per_KL,NRs,1.34744,1347.44,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,technical_loss,NRs_per_KL,1383.15,113,1383.15,NRs_per_KL,NRs,1.38315,1383.15,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,technical_loss,NRs_per_KL,1383.15,114,1383.15,NRs_per_KL,NRs,1.38315,1383.15,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,technical_loss,NRs_per_cylinder,0,115,0,NRs_per_cylinder,NRs,,,0,kept_per_cylinder,
2026-04-03,Petrol,cost,total_noc_expenses,NRs_per_KL,2422.73,116,2422.73,NRs_per_KL,NRs,2.42273,2422.73,,converted_from_per_KL,
2026-04-03,Diesel,cost,total_noc_expenses,NRs_per_KL,2374.73,117,2374.73,NRs_per_KL,NRs,2.37473,2374.73,,converted_from_per_KL,
2026-04-03,Kerosene,cost,total_noc_expenses,NRs_per_KL,2074.2,118,2074.2,NRs_per_KL,NRs,2.0742,2074.2,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,total_noc_expenses,NRs_per_KL,2119.27,119,2119.27,NRs_per_KL,NRs,2.11927,2119.27,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,total_noc_expenses,NRs_per_KL,2119.27,120,2119.27,NRs_per_KL,NRs,2.11927,2119.27,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,total_noc_expenses,NRs_per_cylinder,10.41,121,10.41,NRs_per_cylinder,NRs,,,10.41,kept_per_cylinder,
2026-04-03,Petrol,cost,transportation,NRs_per_KL,6673.49,122,6673.49,NRs_per_KL,NRs,6.67349,6673.49,,converted_from_per_KL,
2026-04-03,Diesel,cost,transportation,NRs_per_KL,3221.64,123,3221.64,NRs_per_KL,NRs,3.22164,3221.64,,converted_from_per_KL,
2026-04-03,Kerosene,cost,transportation,NRs_per_KL,6673.49,124,6673.49,NRs_per_KL,NRs,6.67349,6673.49,,converted_from_per_KL,
