date,ioc_price_effective_date,fuel_type,depot,category,variable_name,display_name,value,unit
2026-04-03,2026-04-01,LP_Gas,Barauni,profit_loss,profit_loss_per_liter,"Profit/Loss per Liter/Cylinder",-416.37,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,profit_loss,profit_loss_in_crore,"Profit/Loss (in Crore)",-113.76,NRs_crore
2026-04-03,2026-04-01,Diesel,Amj/Barauni,profit_loss,profit_loss_in_crore,"Profit/Loss (in Crore)",-991.78,NRs_crore
2026-04-03,2026-04-01,Kerosene,Barauni,profit_loss,profit_loss_in_crore,"Profit/Loss (in Crore)",-5.54,NRs_crore
2026-04-03,2026-04-01,ATF_DP,Barauni,profit_loss,profit_loss_in_crore,"Profit/Loss (in Crore)",-1.5,NRs_crore
2026-04-03,2026-04-01,ATF_DF,Barauni,profit_loss,profit_loss_in_crore,"Profit/Loss (in Crore)",4.08,NRs_crore
2026-04-03,2026-04-01,LP_Gas,Barauni,profit_loss,profit_loss_in_crore,"Profit/Loss (in Crore)",-63.39,NRs_crore
2026-04-03,2026-04-01,Petrol,Barauni,government_revenue,govt_revenue_per_liter,"Government Revenue per Liter/Cylinder",66.98,NRs_per_liter
2026-04-03,2026-04-01,Diesel,Amj/Barauni,government_revenue,govt_revenue_per_liter,"Government Revenue per Liter/Cylinder",49.28,NRs_per_liter
2026-04-03,2026-04-01,Kerosene,Barauni,government_revenue,govt_revenue_per_liter,"Government Revenue per Liter/Cylinder",34.78,NRs_per_liter
2026-04-03,2026-04-01,ATF_DP,Barauni,government_revenue,govt_revenue_per_liter,"Government Revenue per Liter/Cylinder",34.4,NRs_per_liter
2026-04-03,2026-04-01,ATF_DF,Barauni,government_revenue,govt_revenue_per_liter,"Government Revenue per Liter/Cylinder",41.05,NRs_per_liter
2026-04-03,2026-04-01,LP_Gas,Barauni,government_revenue,govt_revenue_per_liter,"Government Revenue per Liter/Cylinder",324.95,NRs_per_cylinder
2026-04-03,2026-04-01,Petrol,Barauni,government_revenue,govt_revenue_fortnightly_crore,"Government Revenue Fortnightly (Crore)",221.77,NRs_crore
2026-04-03,2026-04-01,Diesel,Amj/Barauni,government_revenue,govt_revenue_fortnightly_crore,"Government Revenue Fortnightly (Crore)",405.49,NRs_crore
2026-04-03,2026-04-01,Kerosene,Barauni,government_revenue,govt_revenue_fortnightly_crore,"Government Revenue Fortnightly (Crore)",3.01,NRs_crore
2026-04-03,2026-04-01,ATF_DP,Barauni,government_revenue,govt_revenue_fortnightly_crore,"Government Revenue Fortnightly (Crore)",9,NRs_crore
2026-04-03,2026-04-01,ATF_DF,Barauni,government_revenue,govt_revenue_fortnightly_crore,"Government Revenue Fortnightly (Crore)",24.19,NRs_crore
2026-04-03,2026-04-01,LP_Gas,Barauni,government_revenue,govt_revenue_fortnightly_crore,"Government Revenue Fortnightly (Crore)",49.47,NRs_crore
